path_length,probability
1,0.0012
2,0.003
3,0.0064
4,0.0086
5,0.0162
6,0.0199
7,0.0237
8,0.0277
9,0.0306
10,0.0366
11,0.043
12,0.0463
13,0.0508
14,0.0515
15,0.0537
16,0.0512
17,0.051
18,0.0496
19,0.0445
20,0.0398
21,0.0409
22,0.0359
23,0.0327
24,0.033
25,0.0294
26,0.024
27,0.0234
28,0.0186
29,0.017
30,0.0142
31,0.012
32,0.0109
33,0.0089
34,0.009
35,0.0068
36,0.0049
37,0.0057
38,0.0035
39,0.0034
40,0.0027
41,0.0021
42,0.0012
43,0.0007
44,0.0012
45,0.0007
46,0.0005
47,0.0003
48,0.0004
50,0.0003
52,0.0001
53,0.0001
58,0.0001
60,0.0001
