path_length,probability
2,0.0002
3,0.0005
4,0.0008
5,0.0011
6,0.0012
7,0.0018
8,0.0029
9,0.0046
10,0.004
11,0.0062
12,0.0069
13,0.0082
14,0.0089
15,0.0106
16,0.0134
17,0.0149
18,0.0135
19,0.0164
20,0.0195
21,0.0195
22,0.0219
23,0.0214
24,0.0229
25,0.0244
26,0.0247
27,0.0249
28,0.027
29,0.0265
30,0.0266
31,0.0265
32,0.028
33,0.0293
34,0.0274
35,0.0268
36,0.0262
37,0.0275
38,0.0236
39,0.0248
40,0.0226
41,0.0254
42,0.0239
43,0.0225
44,0.0228
45,0.02
46,0.0151
47,0.0179
48,0.0158
49,0.0155
50,0.015
51,0.0126
52,0.0125
53,0.0104
54,0.0121
55,0.0101
56,0.009
57,0.0103
58,0.0087
59,0.0087
60,0.0068
61,0.0074
62,0.0055
63,0.0064
64,0.005
65,0.0052
66,0.0037
67,0.0033
68,0.0027
69,0.0036
70,0.0028
71,0.0019
72,0.0024
73,0.0022
74,0.0019
75,0.001
76,0.0014
77,0.0007
78,0.0014
79,0.0009
80,0.0011
81,0.0009
82,0.0002
83,0.0008
84,0.0005
85,0.0007
86,0.0004
87,0.0003
88,0.0005
89,0.0001
90,0.0002
91,0.0002
92,0.0001
93,0.0001
94,0.0001
95,0.0004
96,0.0001
97,0.0002
98,0.0001
101,0.0001
106,0.0001
110,0.0001
123,0.0001
